,name,price,brend,url,voltage,country,capacity
165,Аккумуляторная батарея КТ 12-17 12V 17А/ч Контакт,,unisistem,https://www.wildberries.ru/catalog/157027601/detail.aspx,12.0,Вьетнам,17.0
166,Аккумулятор Delta DTM 1209,,DELTA BATTERY,https://www.wildberries.ru/catalog/122880615/detail.aspx,12.0,Китай,9.0
167,Аккумулятор для детского электромобиля premium,,world brands of Russia,https://www.wildberries.ru/catalog/156760641/detail.aspx,,,
168,Аккумулятор HRL 12-55 X 12v 55Ah,,DELTA BATTERY,https://www.wildberries.ru/catalog/33788817/detail.aspx,12.0,Китай,55.0
169,Аккумулятор Kijo 12V 9 Ah (F2),,KIJO,https://www.wildberries.ru/catalog/155397319/detail.aspx,12.0,Китай,9.0
170,Аккумуляторная батарея GS 12В 18АЧ для ИБП,,General Security,https://www.wildberries.ru/catalog/142614068/detail.aspx,12.0,Китай,18.0
171,"АККУМУЛЯТОР DELTA HR 12-5,8 12V 5.8 Ач",,DELTA BATTERY,https://www.wildberries.ru/catalog/102300777/detail.aspx,12.0,Китай,5.8
172,Аккумулятор DJW 12-9.0 12V 9Ah 12В 9Ач,,LEOCH,https://www.wildberries.ru/catalog/175917954/detail.aspx,12.0,Китай,9.0
173,General Security АКБ 4.5Ah 12v GS 4.5-12,,General Security,https://www.wildberries.ru/catalog/161193237/detail.aspx,12.0,Китай,4.5
174,Аккумулятор 12v вольт 2.2Ah - SF 12022,,Security Force,https://www.wildberries.ru/catalog/34858072/detail.aspx,,Китай,2.2
175,Аккумулятор для бесперебойника GEL 12V 55 Ач,,Sunways,https://www.wildberries.ru/catalog/83985320/detail.aspx,12.0,Китай,55.0
